trip_id,starttime,,stoptime,,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear,Year,Month,Quarter,Hour
66319,4/30/2015 17:08,,4/30/2015 17:19,,SEA00195,651.176,9th Ave N & Mercer St,2nd Ave & Pine St,DPD-01,CBD-13,Annual Member,Male,1971,2015,4,2,17
90122,6/13/2015 18:21,,6/13/2015 18:35,,SEA00305,864.023,2nd Ave & Vine St,2nd Ave & Spring St,BT-03,CBD-06,Annual Member,Male,1989,2015,6,2,18
104221,7/7/2015 13:43,,7/7/2015 14:06,,SEA00117,1378.141,Eastlake Ave E & E Allison St,REI / Yale Ave N & John St,EL-05,SLU-01,Annual Member,Female,1955,2015,7,3,13
84626,6/4/2015 14:54,,6/4/2015 15:53,,SEA00341,3528.537,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-04,WF-04,Short-Term Pass Holder,NULL,NULL,2015,6,2,14
6771,10/28/2014 5:41,,10/28/2014 5:48,,SEA00223,394.773,E Harrison St & Broadway Ave E,7th Ave & Union St,CH-02,CBD-03,Annual Member,Male,1979,2014,10,4,5
82481,5/31/2015 9:59,,5/31/2015 15:09,,SEA00370,18605.956,2nd Ave & Pine St,Pier 69 / Alaskan Way & Clay St,CBD-13,WF-01,Short-Term Pass Holder,NULL,NULL,2015,5,2,9
23563,12/23/2014 13:06,,12/23/2014 13:23,,SEA00286,1020.474,Bellevue Ave & E Pine St,2nd Ave & Vine St,CH-12,BT-03,Annual Member,Male,1986,2014,12,4,13
117437,7/28/2015 7:27,,7/28/2015 7:37,,SEA00209,586.521,3rd Ave & Broad St,REI / Yale Ave N & John St,BT-01,SLU-01,Annual Member,Male,1990,2015,7,3,7
133775,8/23/2015 11:20,,8/23/2015 11:30,,SEA00256,636.723,Pine St & 9th Ave,Occidental Park / Occidental Ave S & S Washington St,SLU-16,PS-04,Annual Member,Male,1987,2015,8,3,11
111293,7/17/2015 19:34,,7/17/2015 19:45,,SEA00189,670.692,7th Ave & Union St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,CBD-03,EL-01,Annual Member,Male,1956,2015,7,3,19
119521,7/31/2015 8:47,,7/31/2015 8:54,,SEA00487,437.67,Westlake Ave & 6th Ave,Republican St & Westlake Ave N,SLU-15,SLU-04,Annual Member,Male,1963,2015,7,3,8
62687,4/22/2015 8:03,,4/22/2015 8:09,,SEA00452,355.051,PATH / 9th Ave & Westlake Ave,7th Ave & Union St,SLU-07,CBD-03,Annual Member,Male,1989,2015,4,2,8
54311,4/4/2015 18:19,,4/4/2015 18:31,,SEA00343,682.624,2nd Ave & Pine St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,CBD-13,PS-05,Short-Term Pass Holder,NULL,NULL,2015,4,2,18
94164,6/20/2015 14:23,,6/20/2015 14:35,,SEA00209,704.109,Cal Anderson Park / 11th Ave & Pine St,Lake Union Park / Valley St & Boren Ave N,CH-08,SLU-17,Annual Member,Male,1975,2015,6,2,14
9109,11/3/2014 7:47,,11/3/2014 8:09,,SEA00495,1343.746,15th Ave E & E Thomas St,NE 42nd St & University Way NE,CH-05,UD-02,Annual Member,Male,1975,2014,11,4,7
152086,10/1/2015 7:42,,10/1/2015 7:52,,SEA00094,579.511,Eastlake Ave E & E Allison St,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,EL-05,UW-10,Annual Member,Male,1993,2015,10,4,7
104603,7/8/2015 7:13,,7/8/2015 7:19,,SEA00074,388.145,Summit Ave E & E Republican St,E Blaine St & Fairview Ave E,CH-03,EL-03,Annual Member,Male,1961,2015,7,3,7
57855,4/14/2015 22:27,,4/14/2015 22:32,,SEA00419,266.035,UW McCarty Hall / Whitman Ct,15th Ave NE & NE 40th St,UW-01,UW-04,Annual Member,Male,1994,2015,4,2,22
143309,9/11/2015 20:13,,9/11/2015 20:25,,SEA00044,683.089,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,Pier 69 / Alaskan Way & Clay St,PS-05,WF-01,Annual Member,Male,1972,2015,9,3,20
48611,3/19/2015 21:07,,3/19/2015 21:09,,SEA00231,136.897,UW McCarty Hall / Whitman Ct,UW Engineering Library / E Stevens Way NE & Jefferson Rd,UW-01,UW-06,Annual Member,Male,1992,2015,3,1,21
4837,10/22/2014 11:55,,10/22/2014 11:59,,SEA00110,252.926,Westlake Ave & 6th Ave,Republican St & Westlake Ave N,SLU-15,SLU-04,Annual Member,Male,1955,2014,10,4,11
97706,6/26/2015 17:13,,6/26/2015 17:25,,SEA00470,714.097,2nd Ave & Spring St,2nd Ave & Blanchard St,CBD-06,BT-05,Short-Term Pass Holder,NULL,NULL,2015,6,2,17
122091,8/4/2015 8:44,,8/4/2015 8:50,,SEA00392,366.484,Westlake Ave & 6th Ave,Republican St & Westlake Ave N,SLU-15,SLU-04,Annual Member,Male,1977,2015,8,3,8
16584,11/23/2014 16:51,,11/23/2014 16:56,,SEA00190,322.174,2nd Ave & Vine St,2nd Ave & Pine St,BT-03,CBD-13,Annual Member,Male,1969,2014,11,4,16
98904,6/29/2015 8:40,,6/29/2015 8:48,,SEA00464,490.708,REI / Yale Ave N & John St,Pine St & 9th Ave,SLU-01,SLU-16,Annual Member,Male,1982,2015,6,2,8
17177,11/26/2014 9:04,,11/26/2014 9:13,,SEA00462,552.97,15th Ave E & E Thomas St,2nd Ave & Spring St,CH-05,CBD-06,Annual Member,Male,1982,2014,11,4,9
147408,9/21/2015 13:25,,9/21/2015 13:52,,SEA00484,1617.394,2nd Ave & Vine St,3rd Ave & Broad St,BT-03,BT-01,Short-Term Pass Holder,NULL,NULL,2015,9,3,13
115629,7/24/2015 18:08,,7/24/2015 18:12,,SEA00081,229.203,REI / Yale Ave N & John St,Westlake Ave & 6th Ave,SLU-01,SLU-15,Annual Member,Male,1986,2015,7,3,18
115177,7/23/2015 21:59,,7/23/2015 22:15,,SEA00133,985.654,Occidental Park / Occidental Ave S & S Washington St,Pine St & 9th Ave,PS-04,SLU-16,Annual Member,Female,1971,2015,7,3,21
77438,5/22/2015 10:08,,5/22/2015 10:42,,SEA00303,1994.346,2nd Ave & Spring St,6th Ave S & S King St,CBD-06,ID-04,Short-Term Pass Holder,NULL,NULL,2015,5,2,10
126032,8/10/2015 10:20,,8/10/2015 10:33,,SEA00301,723.528,Harvard Ave & E Pine St,Bellevue Ave & E Pine St,CH-09,CH-12,Annual Member,Male,1977,2015,8,3,10
101208,7/3/2015 8:03,,7/3/2015 8:08,,SEA00063,288.885,3rd Ave & Broad St,Key Arena / 1st Ave N & Harrison St,BT-01,SLU-19,Annual Member,Male,1988,2015,7,3,8
55269,4/7/2015 15:35,,4/7/2015 15:41,,SEA00180,347.557,15th Ave E & E Thomas St,Harvard Ave & E Pine St,CH-05,CH-09,Annual Member,Female,1962,2015,4,2,15
119368,7/30/2015 19:39,,7/30/2015 19:44,,SEA00291,307.631,Bellevue Ave & E Pine St,Westlake Ave & 6th Ave,CH-12,SLU-15,Annual Member,Male,1985,2015,7,3,19
15355,11/19/2014 15:26,,11/19/2014 15:54,,SEA00416,1707.545,E Harrison St & Broadway Ave E,E Harrison St & Broadway Ave E,CH-02,CH-02,Short-Term Pass Holder,NULL,NULL,2014,11,4,15
104691,7/8/2015 8:43,,7/8/2015 8:54,,SEA00330,710.474,UW Intramural Activities Building,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,UW-07,UW-10,Annual Member,Female,1995,2015,7,3,8
21446,12/14/2014 13:17,,12/14/2014 13:49,,SEA00391,1906.554,Cal Anderson Park / 11th Ave & Pine St,6th Ave S & S King St,CH-08,ID-04,Short-Term Pass Holder,NULL,NULL,2014,12,4,13
838,10/13/2014 18:33,,10/13/2014 18:46,,SEA00322,812.317,Key Arena / 1st Ave N & Harrison St,Pier 69 / Alaskan Way & Clay St,SLU-19,WF-01,Short-Term Pass Holder,NULL,NULL,2014,10,4,18
153843,10/4/2015 20:37,,10/4/2015 20:55,,SEA00397,1082.542,Occidental Park / Occidental Ave S & S Washington St,Key Arena / 1st Ave N & Harrison St,PS-04,SLU-19,Short-Term Pass Holder,NULL,NULL,2015,10,4,20
126024,8/10/2015 10:06,,8/10/2015 10:20,,SEA00256,807.868,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,15th Ave NE & NE 40th St,UD-01,UW-04,Annual Member,Male,1983,2015,8,3,10
65224,4/27/2015 18:14,,4/27/2015 18:22,,SEA00398,515.224,PATH / 9th Ave & Westlake Ave,Pier 69 / Alaskan Way & Clay St,SLU-07,WF-01,Annual Member,Male,1988,2015,4,2,18
49764,3/24/2015 8:31,,3/24/2015 8:37,,SEA00240,354.538,E Harrison St & Broadway Ave E,Pine St & 9th Ave,CH-02,SLU-16,Annual Member,Male,1979,2015,3,1,8
107576,7/12/2015 16:45,,7/12/2015 17:07,,SEA00424,1352.84,3rd Ave & Broad St,Bellevue Ave & E Pine St,BT-01,CH-12,Short-Term Pass Holder,NULL,NULL,2015,7,3,16
41710,2/28/2015 12:56,,2/28/2015 13:09,,SEA00038,775.667,Republican St & Westlake Ave N,3rd Ave & Broad St,SLU-04,BT-01,Annual Member,Female,1984,2015,2,1,12
95010,6/22/2015 7:45,,6/22/2015 7:52,,SEA00326,381.917,Seattle University / E Columbia St & 12th Ave,Bellevue Ave & E Pine St,FH-04,CH-12,Annual Member,Female,1993,2015,6,2,7
31840,1/27/2015 9:32,,1/27/2015 9:40,,SEA00345,479.876,E Harrison St & Broadway Ave E,REI / Yale Ave N & John St,CH-02,SLU-01,Annual Member,Male,1987,2015,1,1,9
114216,7/22/2015 16:14,,7/22/2015 16:33,,SEA00033,1144.209,Eastlake Ave E & E Allison St,15th Ave NE & NE 40th St,EL-05,UW-04,Annual Member,Female,1995,2015,7,3,16
49474,3/22/2015 21:15,,3/22/2015 23:14,,SEA00320,7151.11,12th Ave & E Mercer St,E Harrison St & Broadway Ave E,CH-15,CH-02,Short-Term Pass Holder,NULL,NULL,2015,3,1,21
25262,1/1/2015 19:37,,1/1/2015 20:01,,SEA00446,1475.038,1st Ave & Marion St,2nd Ave & Blanchard St,CBD-05,BT-05,Short-Term Pass Holder,NULL,NULL,2015,1,1,19
74147,5/16/2015 7:51,,5/16/2015 7:55,,SEA00023,275.453,E Pine St & 16th Ave,7th Ave & Union St,CH-07,CBD-03,Annual Member,Male,1985,2015,5,2,7
134759,8/24/2015 21:04,,8/24/2015 21:35,,SEA00054,1851.888,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2nd Ave & Spring St,WF-04,CBD-06,Short-Term Pass Holder,NULL,NULL,2015,8,3,21
110002,7/16/2015 8:44,,7/16/2015 8:51,,SEA00260,399.898,Dexter Ave N & Aloha St,PATH / 9th Ave & Westlake Ave,SLU-02,SLU-07,Annual Member,Male,1985,2015,7,3,8
88697,6/11/2015 15:57,,6/11/2015 16:20,,SEA00277,1390.97,Cal Anderson Park / 11th Ave & Pine St,E Harrison St & Broadway Ave E,CH-08,CH-02,Short-Term Pass Holder,NULL,NULL,2015,6,2,15
75961,5/19/2015 17:01,,5/19/2015 17:06,,SEA00257,307.432,Cal Anderson Park / 11th Ave & Pine St,E Harrison St & Broadway Ave E,CH-08,CH-02,Annual Member,Male,1982,2015,5,2,17
156561,10/12/2015 11:50,,10/12/2015 12:22,,SEA00048,1939.735,7th Ave & Union St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,CBD-03,WF-04,Short-Term Pass Holder,NULL,NULL,2015,10,4,11
90922,6/15/2015 7:50,,6/15/2015 7:53,,SEA00448,236.213,1st Ave & Marion St,Occidental Park / Occidental Ave S & S Washington St,CBD-05,PS-04,Annual Member,Male,1960,2015,6,2,7
44266,3/7/2015 15:07,,3/7/2015 16:08,,SEA00105,3669.227,NE 42nd St & University Way NE,NE 42nd St & University Way NE,UD-02,UD-02,Short-Term Pass Holder,NULL,NULL,2015,3,1,15
13560,11/14/2014 8:59,,11/14/2014 9:08,,SEA00468,490.291,Bellevue Ave & E Pine St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,CH-12,EL-01,Annual Member,Male,1987,2014,11,4,8
3738,10/19/2014 16:59,,10/19/2014 17:30,,SEA00366,1811.52,Harvard Ave & E Pine St,REI / Yale Ave N & John St,CH-09,SLU-01,Short-Term Pass Holder,NULL,NULL,2014,10,4,16
15793,11/20/2014 19:06,,11/20/2014 19:15,,SEA00389,569.704,Frye Art Museum / Terry Ave & Columbia St,7th Ave & Union St,FH-01,CBD-03,Annual Member,Male,1988,2014,11,4,19
39823,2/21/2015 20:40,,2/21/2015 20:45,,SEA00461,297.782,Summit Ave E & E Republican St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,CH-03,EL-01,Annual Member,Male,1985,2015,2,1,20
82266,5/30/2015 17:34,,5/30/2015 21:15,,SEA00452,13206.372,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,15th Ave E & E Thomas St,UW-10,CH-05,Short-Term Pass Holder,NULL,NULL,2015,5,2,17
117202,7/27/2015 17:08,,7/27/2015 17:39,,SEA00497,1911.268,NE 42nd St & University Way NE,NE 42nd St & University Way NE,UD-02,UD-02,Annual Member,Female,1970,2015,7,3,17
25275,1/1/2015 20:44,,1/1/2015 20:52,,SEA00287,477.697,3rd Ave & Broad St,2nd Ave & Blanchard St,BT-01,BT-05,Short-Term Pass Holder,NULL,NULL,2015,1,1,20
88208,6/10/2015 18:26,,6/10/2015 18:40,,SEA00333,800.487,2nd Ave & Spring St,Dexter Ave N & Aloha St,CBD-06,SLU-02,Annual Member,Male,1982,2015,6,2,18
82082,5/30/2015 14:25,,5/30/2015 14:52,,SEA00311,1568.988,Westlake Ave & 6th Ave,3rd Ave & Broad St,SLU-15,BT-01,Short-Term Pass Holder,NULL,NULL,2015,5,2,14
57114,4/12/2015 12:48,,4/12/2015 14:48,,SEA00241,7214.317,REI / Yale Ave N & John St,REI / Yale Ave N & John St,SLU-01,SLU-01,Short-Term Pass Holder,NULL,NULL,2015,4,2,12
83709,6/2/2015 17:39,,6/2/2015 17:59,,SEA00404,1145.789,2nd Ave & Vine St,12th Ave & E Denny Way,BT-03,CH-06,Annual Member,Male,1984,2015,6,2,17
7761,10/30/2014 18:51,,10/30/2014 18:56,,SEA00248,305.006,Summit Ave E & E Republican St,12th Ave & E Mercer St,CH-03,CH-15,Annual Member,Male,1977,2014,10,4,18
63786,4/24/2015 17:18,,4/24/2015 17:23,,SEA00180,301.169,Dexter Ave N & Aloha St,9th Ave N & Mercer St,SLU-02,DPD-01,Annual Member,Male,1989,2015,4,2,17
67250,5/2/2015 15:13,,5/2/2015 16:05,,SEA00340,3086.955,E Pine St & 16th Ave,15th Ave E & E Thomas St,CH-07,CH-05,Short-Term Pass Holder,NULL,NULL,2015,5,2,15
26633,1/8/2015 10:32,,1/8/2015 10:39,,SEA00118,376.978,2nd Ave & Spring St,2nd Ave & Blanchard St,CBD-06,BT-05,Annual Member,Male,1976,2015,1,1,10
36402,2/12/2015 20:22,,2/12/2015 20:26,,SEA00265,235.302,Pine St & 9th Ave,PATH / 9th Ave & Westlake Ave,SLU-16,SLU-07,Annual Member,Female,1972,2015,2,1,20
103975,7/7/2015 6:23,,7/7/2015 6:27,,SEA00054,251.758,Terry Ave & Stewart St,PATH / 9th Ave & Westlake Ave,SLU-20,SLU-07,Annual Member,Male,1987,2015,7,3,6
21357,12/14/2014 6:01,,12/14/2014 6:14,,SEA00032,735.989,Key Arena / 1st Ave N & Harrison St,Westlake Ave & 6th Ave,SLU-19,SLU-15,Annual Member,Male,1975,2014,12,4,6
54822,4/5/2015 20:38,,4/5/2015 20:48,,SEA00023,551.421,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,6th Ave & Blanchard St,EL-01,BT-04,Annual Member,Female,1989,2015,4,2,20
121222,8/2/2015 18:47,,8/2/2015 18:59,,SEA00213,674.507,3rd Ave & Broad St,1st Ave & Marion St,BT-01,CBD-05,Annual Member,Male,1965,2015,8,3,18
4566,10/21/2014 15:02,,10/21/2014 15:10,,SEA00314,488.172,Pine St & 9th Ave,Cal Anderson Park / 11th Ave & Pine St,SLU-16,CH-08,Annual Member,Male,1972,2014,10,4,15
126561,8/11/2015 8:09,,8/11/2015 8:13,,SEA00400,275.199,E Harrison St & Broadway Ave E,Pine St & 9th Ave,CH-02,SLU-16,Annual Member,Male,1979,2015,8,3,8
124957,8/8/2015 15:34,,8/8/2015 16:30,,SEA00309,3384.759,3rd Ave & Broad St,12th Ave & NE Campus Pkwy,BT-01,UD-04,Short-Term Pass Holder,NULL,NULL,2015,8,3,15
60568,4/19/2015 13:42,,4/19/2015 13:57,,SEA00232,903.418,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,6th Ave & Blanchard St,EL-01,BT-04,Short-Term Pass Holder,NULL,NULL,2015,4,2,13
136924,8/28/2015 18:21,,8/28/2015 18:29,,SEA00048,476.829,6th Ave S & S King St,2nd Ave & Spring St,ID-04,CBD-06,Short-Term Pass Holder,NULL,NULL,2015,8,3,18
75524,5/18/2015 18:59,,5/18/2015 19:30,,SEA00111,1854.218,15th Ave NE & NE 40th St,Lake Union Park / Valley St & Boren Ave N,UW-04,SLU-17,Annual Member,Male,1985,2015,5,2,18
12975,11/12/2014 16:18,,11/12/2014 16:23,,SEA00263,351.351,PATH / 9th Ave & Westlake Ave,Dexter Ave N & Aloha St,SLU-07,SLU-02,Annual Member,Male,1971,2014,11,4,16
83252,6/1/2015 18:00,,6/1/2015 18:05,,SEA00171,321.961,15th Ave E & E Thomas St,Summit Ave E & E Republican St,CH-05,CH-03,Annual Member,Male,1983,2015,6,2,18
140195,9/5/2015 21:39,,9/5/2015 21:48,,SEA00165,569.868,1st Ave & Marion St,Westlake Ave & 6th Ave,CBD-05,SLU-15,Annual Member,Male,1987,2015,9,3,21
74954,5/17/2015 18:46,,5/17/2015 18:56,,SEA00085,610.309,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Annual Member,Female,1963,2015,5,2,18
77759,5/22/2015 19:48,,5/22/2015 19:54,,SEA00430,322.731,Westlake Ave & 6th Ave,2nd Ave & Vine St,SLU-15,BT-03,Annual Member,Male,1987,2015,5,2,19
70606,5/9/2015 11:17,,5/9/2015 11:27,,SEA00089,619.303,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St,BT-01,WF-01,Short-Term Pass Holder,NULL,NULL,2015,5,2,11
47901,3/18/2015 8:19,,3/18/2015 8:25,,SEA00031,403.622,Summit Ave E & E Republican St,Pine St & 9th Ave,CH-03,SLU-16,Annual Member,Male,1981,2015,3,1,8
80008,5/27/2015 12:53,,5/27/2015 13:01,,SEA00350,507.152,2nd Ave & Pine St,Dexter Ave & Denny Way,CBD-13,SLU-18,Annual Member,Male,1954,2015,5,2,12
89100,6/12/2015 9:50,,6/12/2015 10:00,,SEA00233,608.842,15th Ave E & E Thomas St,Lake Union Park / Valley St & Boren Ave N,CH-05,SLU-17,Annual Member,Male,1991,2015,6,2,9
138919,9/3/2015 6:33,,9/3/2015 6:51,,SEA00293,1104.545,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,Key Arena / 1st Ave N & Harrison St,PS-05,SLU-19,Annual Member,Male,1959,2015,9,3,6
29039,1/17/2015 13:14,,1/17/2015 13:47,,SEA00403,2004.729,2nd Ave & Pine St,Occidental Park / Occidental Ave S & S Washington St,CBD-13,PS-04,Short-Term Pass Holder,NULL,NULL,2015,1,1,13
134617,8/24/2015 18:04,,8/24/2015 18:10,,SEA00348,311.827,3rd Ave & Broad St,2nd Ave & Vine St,BT-01,BT-03,Short-Term Pass Holder,NULL,NULL,2015,8,3,18
7104,10/29/2014 9:19,,10/29/2014 9:29,,SEA00387,618.551,Bellevue Ave & E Pine St,Republican St & Westlake Ave N,CH-12,SLU-04,Annual Member,Male,1973,2014,10,4,9
94859,6/21/2015 17:56,,6/21/2015 18:05,,SEA00463,527.402,Lake Union Park / Valley St & Boren Ave N,6th Ave & Blanchard St,SLU-17,BT-04,Annual Member,Female,1977,2015,6,2,17
132036,8/20/2015 10:05,,8/20/2015 10:12,,SEA00027,455.442,2nd Ave & Blanchard St,Union St & 4th Ave,BT-05,CBD-04,Annual Member,Female,1982,2015,8,3,10
127286,8/12/2015 10:14,,8/12/2015 12:27,,SEA00309,7972.359,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,EL-01,EL-01,Short-Term Pass Holder,NULL,NULL,2015,8,3,10
47928,3/18/2015 8:59,,3/18/2015 9:10,,SEA00342,682.455,Harvard Ave & E Pine St,Occidental Park / Occidental Ave S & S Washington St,CH-09,PS-04,Annual Member,Male,1988,2015,3,1,8
128148,8/13/2015 16:30,,8/13/2015 16:42,,SEA00135,711.913,Summit Ave & E Denny Way,15th Ave E & E Thomas St,CH-01,CH-05,Annual Member,Male,1963,2015,8,3,16
62781,4/22/2015 9:46,,4/22/2015 9:58,,SEA00120,732.61,Dexter Ave N & Aloha St,Westlake Ave & 6th Ave,SLU-02,SLU-15,Annual Member,Male,1972,2015,4,2,9
63679,4/24/2015 13:38,,4/24/2015 13:47,,SEA00247,532.256,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-04,WF-04,Short-Term Pass Holder,NULL,NULL,2015,4,2,13
33821,2/3/2015 8:25,,2/3/2015 8:44,,SEA00115,1145.508,E Harrison St & Broadway Ave E,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,CH-02,UW-10,Annual Member,Male,1989,2015,2,1,8
95721,6/23/2015 11:18,,6/23/2015 11:41,,SEA00033,1408.319,Key Arena / 1st Ave N & Harrison St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,SLU-19,WF-04,Annual Member,Female,1963,2015,6,2,11
138575,9/2/2015 9:41,,9/2/2015 9:54,,SEA00112,741.156,Dexter Ave & Denny Way,E Blaine St & Fairview Ave E,SLU-18,EL-03,Annual Member,Male,1980,2015,9,3,9
98131,6/27/2015 15:39,,6/27/2015 15:55,,SEA00207,973.302,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,NULL,NULL,2015,6,2,15
156191,10/11/2015 12:59,,10/11/2015 14:34,,SEA00422,5658.295,Republican St & Westlake Ave N,Union St & 4th Ave,SLU-04,CBD-04,Short-Term Pass Holder,NULL,NULL,2015,10,4,12
22483,12/18/2014 13:27,,12/18/2014 13:40,,SEA00382,756.763,Frye Art Museum / Terry Ave & Columbia St,PATH / 9th Ave & Westlake Ave,FH-01,SLU-07,Annual Member,Female,1984,2014,12,4,13
106124,7/10/2015 10:27,,7/10/2015 10:38,,SEA00271,640.31,E Harrison St & Broadway Ave E,Westlake Ave & 6th Ave,CH-02,SLU-15,Short-Term Pass Holder,NULL,NULL,2015,7,3,10
147302,9/21/2015 9:32,,9/21/2015 9:38,,SEA00185,362.206,Summit Ave & E Denny Way,Republican St & Westlake Ave N,CH-01,SLU-04,Annual Member,Male,1992,2015,9,3,9
35815,2/11/2015 9:57,,2/11/2015 10:06,,SEA00194,500.575,Dexter Ave N & Aloha St,9th Ave N & Mercer St,SLU-02,DPD-01,Annual Member,Male,1987,2015,2,1,9
25353,1/2/2015 13:26,,1/2/2015 13:31,,SEA00483,350.746,2nd Ave & Vine St,Republican St & Westlake Ave N,BT-03,SLU-04,Annual Member,Male,1989,2015,1,1,13
101172,7/2/2015 23:46,,7/2/2015 23:52,,SEA00034,302.402,Occidental Park / Occidental Ave S & S Washington St,6th Ave S & S King St,PS-04,ID-04,Annual Member,Male,1981,2015,7,3,23
3462,10/19/2014 13:52,,10/19/2014 14:04,,SEA00125,688.189,Dexter Ave & Denny Way,2nd Ave & Pine St,SLU-18,CBD-13,Short-Term Pass Holder,NULL,NULL,2014,10,4,13
