trip_id,starttime,stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear,Numbers,Characters
31530,1/26/2015 12:59,1/26/2015 13:08,SEA00301,540.039,Republican St & Westlake Ave N,E Blaine St & Fairview Ave E,SLU-04,EL-03,Annual Member,Female,1961,04,SL
63089,4/22/2015 18:16,4/22/2015 18:32,SEA00221,950.926,2nd Ave & Spring St,Dexter Ave N & Aloha St,CBD-06,SLU-02,Short-Term Pass Holder,NULL,NULL,06,CB
112828,7/20/2015 9:33,7/20/2015 9:45,SEA00423,680.452,E Pine St & 16th Ave,6th Ave & Blanchard St,CH-07,BT-04,Annual Member,Male,1993,07,CH
149730,9/26/2015 12:55,9/26/2015 13:13,SEA00483,1085.033,7th Ave & Union St,Frye Art Museum / Terry Ave & Columbia St,CBD-03,FH-01,Short-Term Pass Holder,NULL,NULL,03,CB
77940,5/23/2015 12:34,5/23/2015 13:03,SEA00038,1771.28,Dexter Ave & Denny Way,UW Intramural Activities Building,SLU-18,UW-07,Short-Term Pass Holder,NULL,NULL,18,SL
82470,5/31/2015 9:21,5/31/2015 9:28,SEA00435,410.901,Summit Ave E & E Republican St,Cal Anderson Park / 11th Ave & Pine St,CH-03,CH-08,Annual Member,Male,1962,03,CH
64075,4/25/2015 12:59,4/25/2015 13:11,SEA00275,707.81,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,6th Ave & Blanchard St,EL-01,BT-04,Short-Term Pass Holder,NULL,NULL,01,EL
53721,4/3/2015 11:35,4/3/2015 11:42,SEA00190,413.036,Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St,WF-01,CBD-05,Annual Member,Male,1985,01,WF
67906,5/3/2015 16:49,5/3/2015 17:02,SEA00295,765.109,Occidental Park / Occidental Ave S & S Washington St,Pine St & 9th Ave,PS-04,SLU-16,Annual Member,Other,1987,04,PS
33020,1/30/2015 15:46,1/30/2015 15:49,SEA00500,194.96,2nd Ave & Blanchard St,2nd Ave & Vine St,BT-05,BT-03,Annual Member,Female,1977,05,BT
46612,3/13/2015 11:15,3/13/2015 12:04,SEA00223,2971.565,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St,PS-04,PS-04,Short-Term Pass Holder,NULL,NULL,04,PS
72036,5/11/2015 14:20,5/11/2015 14:28,SEA00258,501.513,Bellevue Ave & E Pine St,2nd Ave & Blanchard St,CH-12,BT-05,Annual Member,Male,1976,12,CH
5891,10/25/2014 12:14,10/25/2014 13:10,SEA00121,3369.96,Dexter Ave N & Aloha St,Dexter Ave N & Aloha St,SLU-02,SLU-02,Short-Term Pass Holder,NULL,NULL,02,SL
70128,5/8/2015 15:37,5/8/2015 15:42,SEA00058,314.274,E Pine St & 16th Ave,Pine St & 9th Ave,CH-07,SLU-16,Annual Member,Male,1986,07,CH
37101,2/14/2015 14:30,2/14/2015 14:49,SEA00107,1150.171,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Westlake Ave & 6th Ave,EL-01,SLU-15,Short-Term Pass Holder,NULL,NULL,01,EL
103729,7/6/2015 17:21,7/6/2015 17:28,SEA00233,436.827,Dexter Ave & Denny Way,Dexter Ave N & Aloha St,SLU-18,SLU-02,Annual Member,Female,1986,18,SL
92653,6/17/2015 19:09,6/17/2015 20:11,SEA00241,3709.365,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Short-Term Pass Holder,NULL,NULL,04,WF
44080,3/7/2015 10:55,3/7/2015 11:09,SEA00184,884.853,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Pine St,PS-04,CBD-13,Annual Member,Male,1977,04,PS
137225,8/29/2015 15:41,8/29/2015 16:06,SEA00428,1492.491,Occidental Park / Occidental Ave S & S Washington St,6th Ave S & S King St,PS-04,ID-04,Short-Term Pass Holder,NULL,NULL,04,PS
120431,8/1/2015 15:29,8/1/2015 15:42,SEA00213,778.884,Republican St & Westlake Ave N,Westlake Ave & 6th Ave,SLU-04,SLU-15,Short-Term Pass Holder,NULL,NULL,04,SL
122828,8/5/2015 9:58,8/5/2015 10:15,SEA00390,1054.23,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,NULL,NULL,01,WF
10807,11/7/2014 17:40,11/7/2014 17:46,SEA00381,362.251,PATH / 9th Ave & Westlake Ave,Dexter Ave N & Aloha St,SLU-07,SLU-02,Annual Member,Male,1971,07,SL
81285,5/29/2015 10:49,5/29/2015 11:04,SEA00286,900.085,Cal Anderson Park / 11th Ave & Pine St,12th Ave & E Mercer St,CH-08,CH-15,Annual Member,Female,1987,08,CH
84529,6/4/2015 12:04,6/4/2015 12:09,SEA00305,280.591,2nd Ave & Spring St,2nd Ave & Pine St,CBD-06,CBD-13,Short-Term Pass Holder,NULL,NULL,06,CB
145871,9/17/2015 19:10,9/17/2015 19:24,SEA00347,882.264,1st Ave & Marion St,Summit Ave & E Denny Way,CBD-05,CH-01,Annual Member,Male,1982,05,CB
52198,3/30/2015 10:44,3/30/2015 10:51,SEA00209,416.561,12th Ave & NE Campus Pkwy,UW McCarty Hall / Whitman Ct,UD-04,UW-01,Annual Member,Male,1990,04,UD
27750,1/12/2015 19:02,1/12/2015 19:19,SEA00479,1007.017,REI / Yale Ave N & John St,2nd Ave & Vine St,SLU-01,BT-03,Annual Member,Male,1987,01,SL
45563,3/10/2015 16:48,3/10/2015 16:54,SEA00455,339.592,2nd Ave & Vine St,Westlake Ave & 6th Ave,BT-03,SLU-15,Annual Member,Male,1965,03,BT
88104,6/10/2015 16:06,6/10/2015 16:11,SEA00287,316.421,2nd Ave & Pine St,Pine St & 9th Ave,CBD-13,SLU-16,Annual Member,Male,1987,13,CB
54014,4/4/2015 11:13,4/4/2015 11:46,SEA00312,1991.883,Cal Anderson Park / 11th Ave & Pine St,Pier 69 / Alaskan Way & Clay St,CH-08,WF-01,Short-Term Pass Holder,NULL,NULL,08,CH
107342,7/12/2015 11:59,7/12/2015 12:23,SEA00470,1407.483,15th Ave NE & NE 40th St,E Blaine St & Fairview Ave E,UW-04,EL-03,Short-Term Pass Holder,NULL,NULL,04,UW
70922,5/9/2015 14:59,5/9/2015 16:00,SEA00111,3619.711,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,NULL,NULL,01,WF
140969,9/7/2015 17:36,9/7/2015 17:40,SEA00235,230.093,1st Ave & Marion St,Occidental Park / Occidental Ave S & S Washington St,CBD-05,PS-04,Short-Term Pass Holder,NULL,NULL,05,CB
88586,6/11/2015 12:52,6/11/2015 13:11,SEA00109,1166.544,Key Arena / 1st Ave N & Harrison St,2nd Ave & Pine St,SLU-19,CBD-13,Short-Term Pass Holder,NULL,NULL,19,SL
2158,10/16/2014 17:31,10/16/2014 17:38,SEA00053,453.947,NE 47th St & 12th Ave NE,Eastlake Ave E & E Allison St,UD-07,EL-05,Short-Term Pass Holder,NULL,NULL,07,UD
8573,11/1/2014 22:18,11/1/2014 22:19,SEA00428,84.416,7th Ave & Union St,7th Ave & Union St,CBD-03,CBD-03,Short-Term Pass Holder,NULL,NULL,03,CB
150711,9/28/2015 12:27,9/28/2015 13:04,SEA00071,2219.626,3rd Ave & Broad St,Occidental Park / Occidental Ave S & S Washington St,BT-01,PS-04,Short-Term Pass Holder,NULL,NULL,01,BT
22692,12/19/2014 12:30,12/19/2014 12:36,SEA00206,397.306,Occidental Park / Occidental Ave S & S Washington St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,PS-04,WF-04,Short-Term Pass Holder,NULL,NULL,04,PS
76737,5/21/2015 7:28,5/21/2015 7:37,SEA00051,539,Seattle University / E Columbia St & 12th Ave,2nd Ave & Pine St,FH-04,CBD-13,Annual Member,Male,1959,04,FH
130770,8/18/2015 9:51,8/18/2015 9:56,SEA00262,336.341,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Annual Member,Female,1982,01,WF
84280,6/3/2015 21:02,6/3/2015 21:08,SEA00326,330.141,3rd Ave & Broad St,2nd Ave & Vine St,BT-01,BT-03,Short-Term Pass Holder,NULL,NULL,01,BT
5088,10/23/2014 13:48,10/23/2014 14:04,SEA00440,979.863,1st Ave & Marion St,Harvard Ave & E Pine St,CBD-05,CH-09,Short-Term Pass Holder,NULL,NULL,05,CB
54306,4/4/2015 18:13,4/4/2015 18:25,SEA00212,746.68,3rd Ave & Broad St,2nd Ave & Spring St,BT-01,CBD-06,Short-Term Pass Holder,NULL,NULL,01,BT
139129,9/3/2015 14:01,9/3/2015 14:08,SEA00425,441.745,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,NULL,NULL,01,WF
31559,1/26/2015 14:15,1/26/2015 14:24,SEA00383,540.079,E Pine St & 16th Ave,Frye Art Museum / Terry Ave & Columbia St,CH-07,FH-01,Short-Term Pass Holder,NULL,NULL,07,CH
117958,7/28/2015 19:08,7/28/2015 19:26,SEA00271,1073.062,REI / Yale Ave N & John St,Occidental Park / Occidental Ave S & S Washington St,SLU-01,PS-04,Short-Term Pass Holder,NULL,NULL,01,SL
1821,10/15/2014 21:23,10/15/2014 21:36,SEA00301,781.429,Harvard Ave & E Pine St,2nd Ave & Vine St,CH-09,BT-03,Annual Member,Male,1988,09,CH
143280,9/11/2015 19:10,9/11/2015 19:26,SEA00175,931.461,12th Ave & E Mercer St,Frye Art Museum / Terry Ave & Columbia St,CH-15,FH-01,Annual Member,Female,1959,15,CH
58270,4/16/2015 7:59,4/16/2015 8:07,SEA00312,473.579,15th Ave E & E Thomas St,Pine St & 9th Ave,CH-05,SLU-16,Annual Member,Female,1985,05,CH
19179,12/4/2014 21:51,12/4/2014 21:57,SEA00025,353.825,Dexter Ave & Denny Way,REI / Yale Ave N & John St,SLU-18,SLU-01,Annual Member,Male,1987,18,SL
110864,7/17/2015 12:09,7/17/2015 12:34,SEA00196,1491.772,9th Ave N & Mercer St,Lake Union Park / Valley St & Boren Ave N,DPD-01,SLU-17,Short-Term Pass Holder,NULL,NULL,01,DP
119270,7/30/2015 17:26,7/30/2015 17:46,SEA00075,1185.432,1st Ave & Marion St,2nd Ave & Vine St,CBD-05,BT-03,Short-Term Pass Holder,NULL,NULL,05,CB
19719,12/7/2014 12:55,12/7/2014 13:15,SEA00142,1200.019,E Harrison St & Broadway Ave E,6th Ave S & S King St,CH-02,ID-04,Short-Term Pass Holder,NULL,NULL,02,CH
50057,3/24/2015 19:01,3/24/2015 19:16,SEA00407,876.787,2nd Ave & Spring St,6th Ave S & S King St,CBD-06,ID-04,Annual Member,Male,1987,06,CB
17089,11/25/2014 18:20,11/25/2014 18:34,SEA00485,862.065,Dexter Ave N & Aloha St,2nd Ave & Vine St,SLU-02,BT-03,Annual Member,Male,1971,02,SL
80637,5/28/2015 11:37,5/28/2015 11:48,SEA00177,637.16,Dexter Ave N & Aloha St,Key Arena / 1st Ave N & Harrison St,SLU-02,SLU-19,Annual Member,Female,1980,02,SL
147073,9/20/2015 16:11,9/20/2015 16:25,SEA00189,847.474,3rd Ave & Broad St,Occidental Park / Occidental Ave S & S Washington St,BT-01,PS-04,Annual Member,Female,1987,01,BT
93727,6/19/2015 16:30,6/19/2015 16:34,SEA00453,238.882,9th Ave N & Mercer St,Dexter Ave N & Aloha St,DPD-01,SLU-02,Annual Member,Male,1971,01,DP
153617,10/4/2015 14:23,10/4/2015 15:02,SEA00084,2326.093,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,NULL,NULL,01,WF
117197,7/27/2015 17:01,7/27/2015 17:12,SEA00080,652.063,6th Ave & Blanchard St,1st Ave & Marion St,BT-04,CBD-05,Annual Member,Male,1962,04,BT
27490,1/12/2015 6:52,1/12/2015 7:01,SEA00092,486.936,2nd Ave & Vine St,PATH / 9th Ave & Westlake Ave,BT-03,SLU-07,Annual Member,Male,1987,03,BT
46668,3/13/2015 13:16,3/13/2015 13:26,SEA00207,581.409,Key Arena / 1st Ave N & Harrison St,Dexter Ave N & Aloha St,SLU-19,SLU-02,Annual Member,Male,1980,19,SL
117663,7/28/2015 12:53,7/28/2015 13:10,SEA00113,1031.908,9th Ave N & Mercer St,Key Arena / 1st Ave N & Harrison St,DPD-01,SLU-19,Annual Member,Male,1964,01,DP
32075,1/28/2015 8:02,1/28/2015 8:13,SEA00118,683.325,Cal Anderson Park / 11th Ave & Pine St,2nd Ave & Blanchard St,CH-08,BT-05,Annual Member,Male,1991,08,CH
8701,11/2/2014 8:34,11/2/2014 9:50,SEA00089,4542.538,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-04,WF-04,Short-Term Pass Holder,NULL,NULL,04,WF
13253,11/13/2014 12:56,11/13/2014 13:04,SEA00179,520.43,7th Ave & Union St,PATH / 9th Ave & Westlake Ave,CBD-03,SLU-07,Annual Member,Male,1986,03,CB
27393,1/11/2015 8:45,1/11/2015 9:39,SEA00221,3210.59,2nd Ave & Blanchard St,Eastlake Ave E & E Allison St,BT-05,EL-05,Short-Term Pass Holder,NULL,NULL,05,BT
52606,3/31/2015 12:06,3/31/2015 12:14,SEA00327,507.476,Eastlake Ave E & E Allison St,E Blaine St & Fairview Ave E,EL-05,EL-03,Annual Member,Female,1961,05,EL
56046,4/9/2015 10:38,4/9/2015 10:47,SEA00418,534.772,Occidental Park / Occidental Ave S & S Washington St,7th Ave & Union St,PS-04,CBD-03,Annual Member,Male,1973,04,PS
146797,9/19/2015 19:10,9/19/2015 19:18,SEA00218,510.451,2nd Ave & Vine St,1st Ave & Marion St,BT-03,CBD-05,Annual Member,Male,1965,03,BT
80243,5/27/2015 17:41,5/27/2015 17:54,SEA00191,838.757,2nd Ave & Pine St,12th Ave & E Denny Way,CBD-13,CH-06,Annual Member,Male,1991,13,CB
78856,5/25/2015 0:49,5/25/2015 0:54,SEA00263,275.156,Burke Museum / E Stevens Way NE & Memorial Way NE,NE 47th St & 12th Ave NE,UW-02,UD-07,Annual Member,Male,1994,02,UW
59410,4/18/2015 7:39,4/18/2015 7:50,SEA00112,675.551,3rd Ave & Broad St,7th Ave & Union St,BT-01,CBD-03,Annual Member,Female,1978,01,BT
75998,5/19/2015 17:31,5/19/2015 17:51,SEA00184,1205.362,6th Ave S & S King St,Frye Art Museum / Terry Ave & Columbia St,ID-04,FH-01,Short-Term Pass Holder,NULL,NULL,04,ID
132009,8/20/2015 9:31,8/20/2015 9:35,SEA00474,218.015,Dexter Ave N & Aloha St,Republican St & Westlake Ave N,SLU-02,SLU-04,Annual Member,Male,1985,02,SL
23267,12/22/2014 11:55,12/22/2014 12:24,SEA00452,1755.741,Lake Union Park / Valley St & Boren Ave N,Key Arena / 1st Ave N & Harrison St,SLU-17,SLU-19,Short-Term Pass Holder,NULL,NULL,17,SL
61252,4/20/2015 11:29,4/20/2015 11:48,SEA00442,1152.999,Summit Ave & E Denny Way,City Hall / 4th Ave & James St,CH-01,CBD-07,Annual Member,Female,1967,01,CH
4808,10/22/2014 9:19,10/22/2014 9:31,SEA00214,720.452,15th Ave E & E Thomas St,E Blaine St & Fairview Ave E,CH-05,EL-03,Short-Term Pass Holder,NULL,NULL,05,CH
29470,1/19/2015 17:06,1/19/2015 17:13,SEA00052,439.815,2nd Ave & Blanchard St,PATH / 9th Ave & Westlake Ave,BT-05,SLU-07,Annual Member,Female,1982,05,BT
83726,6/2/2015 18:02,6/2/2015 18:09,SEA00405,433.445,7th Ave & Union St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,CBD-03,PS-05,Annual Member,Male,1963,03,CB
21264,12/13/2014 15:40,12/13/2014 15:56,SEA00322,949.283,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,NULL,NULL,01,WF
51506,3/28/2015 11:25,3/28/2015 11:58,SEA00117,1973.873,UW Intramural Activities Building,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,UW-07,UD-01,Short-Term Pass Holder,NULL,NULL,07,UW
56691,4/10/2015 13:35,4/10/2015 13:57,SEA00330,1314.911,REI / Yale Ave N & John St,Summit Ave & E Denny Way,SLU-01,CH-01,Short-Term Pass Holder,NULL,NULL,01,SL
146813,9/19/2015 21:11,9/19/2015 21:42,SEA00027,1839.309,6th Ave & Blanchard St,6th Ave & Blanchard St,BT-04,BT-04,Short-Term Pass Holder,NULL,NULL,04,BT
133162,8/22/2015 9:38,8/22/2015 9:41,SEA00147,178.73,Harvard Ave & E Pine St,Summit Ave & E Denny Way,CH-09,CH-01,Annual Member,Male,1985,09,CH
71217,5/9/2015 19:20,5/9/2015 19:41,SEA00210,1247.257,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Key Arena / 1st Ave N & Harrison St,WF-04,SLU-19,Short-Term Pass Holder,NULL,NULL,04,WF
41674,2/28/2015 11:50,2/28/2015 12:08,SEA00099,1060.159,REI / Yale Ave N & John St,2nd Ave & Pine St,SLU-01,CBD-13,Annual Member,Other,1987,01,SL
28978,1/17/2015 7:13,1/17/2015 7:57,SEA00454,2639.784,1st Ave & Marion St,3rd Ave & Broad St,CBD-05,BT-01,Short-Term Pass Holder,NULL,NULL,05,CB
148022,9/22/2015 18:24,9/22/2015 20:16,SEA00375,6752.001,12th Ave & NE Campus Pkwy,12th Ave & NE Campus Pkwy,UD-04,UD-04,Short-Term Pass Holder,NULL,NULL,04,UD
95327,6/22/2015 16:42,6/22/2015 17:12,SEA00051,1818.747,12th Ave & NE Campus Pkwy,12th Ave & NE Campus Pkwy,UD-04,UD-04,Short-Term Pass Holder,NULL,NULL,04,UD
150263,9/27/2015 12:21,9/27/2015 12:53,SEA00445,1913.123,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Short-Term Pass Holder,NULL,NULL,04,WF
52556,3/31/2015 9:13,3/31/2015 9:18,SEA00490,285.628,12th Ave & E Mercer St,Cal Anderson Park / 11th Ave & Pine St,CH-15,CH-08,Annual Member,Female,1980,15,CH
119252,7/30/2015 17:04,7/30/2015 17:17,SEA00199,753.316,Harvard Ave & E Pine St,15th Ave E & E Thomas St,CH-09,CH-05,Annual Member,Female,1962,09,CH
65897,4/29/2015 16:40,4/29/2015 19:30,SEA00215,10230.528,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Occidental Park / Occidental Ave S & S Washington St,WF-04,PS-04,Short-Term Pass Holder,NULL,NULL,04,WF
86266,6/7/2015 13:12,6/7/2015 13:18,SEA00044,407.757,Summit Ave E & E Republican St,Westlake Ave & 6th Ave,CH-03,SLU-15,Annual Member,Male,1990,03,CH
65208,4/27/2015 17:59,4/27/2015 18:24,SEA00154,1512.573,NE 47th St & 12th Ave NE,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,UD-07,EL-01,Short-Term Pass Holder,NULL,NULL,07,UD
12406,11/11/2014 7:46,11/11/2014 7:52,SEA00099,353.003,Summit Ave E & E Republican St,Pine St & 9th Ave,CH-03,SLU-16,Annual Member,Male,1981,03,CH
21594,12/15/2014 7:39,12/15/2014 7:55,SEA00098,992.719,2nd Ave & Blanchard St,E Blaine St & Fairview Ave E,BT-05,EL-03,Annual Member,Female,1964,05,BT
33134,1/30/2015 21:13,1/30/2015 21:20,SEA00393,375.786,2nd Ave & Pine St,REI / Yale Ave N & John St,CBD-13,SLU-01,Annual Member,Male,1987,13,CB
1655,10/15/2014 16:12,10/15/2014 16:25,SEA00113,771.132,Lake Union Park / Valley St & Boren Ave N,PATH / 9th Ave & Westlake Ave,SLU-17,SLU-07,Short-Term Pass Holder,NULL,NULL,17,SL
92302,6/17/2015 10:01,6/17/2015 10:10,SEA00065,526.921,2nd Ave & Pine St,Republican St & Westlake Ave N,CBD-13,SLU-04,Annual Member,Male,1991,13,CB
